Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Aneurysm,9/152,1.489619686389413E-11,3.114889846347904E-10,0,0,29.605263157894736,738.0566993957978,IL10;IL6;TGFB1;IFNG;STAT1;IL1B;TNF;TLR4;IL17A
Polycystic Ovary Syndrome,13/526,1.5628044457851297E-11,3.260985582415341E-10,0,0,12.357414448669202,307.47661903211525,IL10;TGFB1;VDR;MTHFR;PRL;TNF;RUNX3;INS;DPP4;IL6;IL1B;TLR4;HLA-DRB1
Aphthous Stomatitis,6/28,1.5761623759992647E-11,3.2818906422289773E-10,0,0,107.14285714285714,2665.0117506803253,IL10;IL6;IL1B;IL12A;TNF;TLR4
Psoriasiform eczema,6/28,1.5761623759992647E-11,3.27495218421158E-10,0,0,107.14285714285714,2665.0117506803253,IL10;IL6;IFNG;TNF;HLA-DRB1;IL17A
Carotid Stenosis,7/56,1.5872222136785574E-11,3.2909746658297177E-10,0,0,62.5,1554.1531606231727,IL10;IL6;MTHFR;CD14;ETS1;HIF1A;TLR4
Radiation Injuries, Experimental,5/12,1.9348211138620767E-11,4.00324671727084E-10,0,0,208.33333333333334,5139.25440590475,IFNG;IL1B;HIF1A;TNF;SOD1
Berylliosis,5/12,1.9348211138620767E-11,3.9948365350916995E-10,0,0,208.33333333333334,5139.25440590475,IL6;TGFB1;IL2RA;TNF;HLA-DRB1
Ileitis,6/29,1.9844483704813483E-11,4.0887124916332686E-10,0,0,103.44827586206897,2549.2856944570626,IL10;CXCL10;IL15;TNF;TLR4;IL17A
Silicosis,7/58,2.0518533655492236E-11,4.2187478821376085E-10,0,0,60.3448275862069,1485.0676543296831,TGFB1;IFNG;IL1B;AHR;TNF;HLA-DRB1;IL17A
Benign Prostatic Hyperplasia,12/420,2.0660414622384208E-11,4.2390512507054696E-10,0,0,14.285714285714285,351.46859405130255,IL21;IL6;TGFB1;IFNG;IL15;VDR;PRL;ETS1;HIF1A;IL6R;S100A9;IL2
Impaired cognition,14/671,2.0722155940123964E-11,4.2428614287403817E-10,0,0,10.432190760059614,256.62999041654473,IL10;TGFB1;MTHFR;HIF1A;TNF;SOD1;DPP4;IL6;IFNG;IL1B;CD14;IL6R;TLR4;HLA-DRB1
Malignant neoplasm of kidney,12/421,2.12386653204935E-11,4.3395759411602936E-10,0,0,14.251781472684085,350.240348117065,IL10;IL6;TGFB1;IFNG;VDR;TNFRSF9;IL2RA;AHR;HIF1A;TNF;CCR4;IL2
Metabolic Diseases,12/421,2.12386653204935E-11,4.330572671572824E-10,0,0,14.251781472684085,350.240348117065,IL10;IL6;TGFB1;IL1B;IRF1;MTHFR;AHR;PRL;HIF1A;TNF;TLR4;INS
Alopecia Areata,7/59,2.324705176878462E-11,4.730269664257044E-10,0,0,59.32203389830509,1452.4906744326747,CXCL10;TGFB1;IFNG;IL1B;IL2RA;TNF;HLA-DRB1
Libman-Sacks Disease,7/59,2.324705176878462E-11,4.720496379826761E-10,0,0,59.32203389830509,1452.4906744326747,IL21;IL10;IL6;PRL;ETS1;HLA-DQA1;HLA-DRB1
Heart Decompensation,8/102,2.3256645633302797E-11,4.712707490393812E-10,0,0,39.2156862745098,960.1737329822511,IL6;IFNG;IL1B;PRL;HIF1A;TNF;INS;SOD1
Recurrent aphthous ulcer,6/30,2.4769565352259232E-11,5.008956549012423E-10,0,0,100.0,2442.1405419926446,IL10;IL6;IL1B;IL12A;TNF;TLR4
Secondary malignant neoplasm of lung,14/683,2.6227199367760863E-11,5.292831938118147E-10,0,0,10.248901903367496,249.70654275105005,IL10;TGFB1;IL15;TNFRSF9;AHR;HMGB1;HIF1A;TNF;IL2;IL6;IFNG;IL1B;CCR4;TLR4
MYELODYSPLASTIC SYNDROME,14/683,2.6227199367760863E-11,5.28198597103184E-10,0,0,10.248901903367496,249.70654275105005,IL10;TGFB1;TNF;IL2;IL6;IFNG;IL1B;IL2RA;IRF1;CD14;S100A9;TLR4;HLA-DRB1;IL17A
Hepatitis, Toxic,11/325,2.6765906316153516E-11,5.379454545504228E-10,0,0,16.923076923076923,411.9735601497465,CXCL10;IL6;IFNG;IL1B;MTHFR;AHR;HMGB1;TNF;HLA-DRB1;SOD1;IL17A
Chemical and Drug Induced Liver Injury,11/325,2.6765906316153516E-11,5.368476066839934E-10,0,0,16.923076923076923,411.9735601497465,CXCL10;IL6;IFNG;IL1B;MTHFR;AHR;HMGB1;TNF;HLA-DRB1;SOD1;IL17A
Chemically-Induced Liver Toxicity,11/325,2.6765906316153516E-11,5.357542307029669E-10,0,0,16.923076923076923,411.9735601497465,CXCL10;IL6;IFNG;IL1B;MTHFR;AHR;HMGB1;TNF;HLA-DRB1;SOD1;IL17A
Drug-Induced Acute Liver Injury,11/325,2.6765906316153516E-11,5.346652993397495E-10,0,0,16.923076923076923,411.9735601497465,CXCL10;IL6;IFNG;IL1B;MTHFR;AHR;HMGB1;TNF;HLA-DRB1;SOD1;IL17A
Stomach Neoplasms,15/835,2.73076871160306E-11,5.443812352461435E-10,0,0,8.982035928143713,218.47772042543602,IL10;TGFB1;CD80;TNFRSF9;MTHFR;AHR;HIF1A;TNF;RUNX3;IL2;IL6;IL1B;IRF1;IL12A;IL6R
Overweight,10/238,2.921474656119635E-11,5.81219694743801E-10,0,0,21.008403361344538,509.587132666272,IL10;IL6;TGFB1;IL1B;MTHFR;PRL;CD14;TNF;TLR4;HLA-DQA1
Biliary Atresia,8/105,2.944305832101808E-11,5.845785397554862E-10,0,0,38.095238095238095,923.7547788295849,CXCL10;IL6;IFNG;STAT1;HMGB1;CD14;HIF1A;TNF
M5b Acute differentiated monocytic leukemia,8/105,2.944305832101808E-11,5.833999539898501E-10,0,0,38.095238095238095,923.7547788295849,IL6;IFNG;VDR;IL1B;HMGB1;CD14;ETS1;TNF
Hepatitis, Drug-Induced,11/329,3.052077869910177E-11,6.035376520216744E-10,0,0,16.717325227963524,404.77013275069106,CXCL10;IL6;IFNG;IL1B;MTHFR;AHR;HMGB1;TNF;HLA-DRB1;SOD1;IL17A
Oral Ulcer,6/31,3.0669629562693555E-11,6.052632918517114E-10,0,0,96.77419354838709,2342.685311229665,IL21;IL10;IL12A;TNF;TLR4;HLA-DRB1
Heart Failure, Right-Sided,8/106,3.180119983572348E-11,6.26337058087155E-10,0,0,37.73584905660377,912.1327206102291,IL6;IFNG;IL1B;PRL;HIF1A;TNF;INS;SOD1
Tumor Promotion,8/108,3.70149663715858E-11,7.275661789998905E-10,0,0,37.03703703703703,889.6184736496905,IL6;TGFB1;STAT1;IL1B;AHR;PRL;HIF1A;TNF
Myocardial Failure,8/108,3.70149663715858E-11,7.26113951097695E-10,0,0,37.03703703703703,889.6184736496905,IL6;IFNG;IL1B;PRL;HIF1A;TNF;INS;SOD1
Lichen Planus, Oral,7/63,3.748452610911305E-11,7.338604035863806E-10,0,0,55.55555555555555,1333.727383622256,IL10;CXCL10;IL6;IFNG;CD14;TNF;TLR4
Monocytic leukemia,7/63,3.748452610911305E-11,7.324014365812387E-10,0,0,55.55555555555555,1333.727383622256,IL6;IFNG;VDR;IL1B;CD14;ETS1;TNF
Subacute Sclerosing Panencephalitis,6/32,3.769237637343867E-11,7.350013392820541E-10,0,0,93.75,2250.14655563762,IL10;IL6;IFNG;IRF1;TNF;IL2
Cardiovascular morbidity,6/32,3.769237637343867E-11,7.33545891085456E-10,0,0,93.75,2250.14655563762,IL10;VDR;MTHFR;TNF;HLA-DRB1;SOD1
Fibrosis,9/169,3.8711650113616066E-11,7.518934729577445E-10,0,0,26.627218934911244,638.3843926686658,IL10;IL6;TGFB1;IFNG;STAT1;IL1B;CD14;TNF;TLR4
Chronic Fatigue Syndrome,7/64,4.2027139953903854E-11,8.146799437218286E-10,0,0,54.6875,1306.6323329585846,IL10;IL6;CD14;TNF;HLA-DQA1;IL2;HLA-DRB1
Primary malignant neoplasm,16/1032,4.387163360920475E-11,8.487606596678431E-10,0,0,7.751937984496124,184.88180747241785,IL10;TGFB1;IL15;VDR;AHR;HMGB1;ETS1;HIF1A;TNF;IL2;IL6;IFNG;IL2RA;S100A9;TGM2;IL17A
Thrombocytopenia,11/341,4.480578262321679E-11,8.651301210628184E-10,0,0,16.129032258064516,384.33361142622846,CXCL10;IL6;TGFB1;STAT1;IL2RA;MTHFR;ETS1;TNF;TLR4;HLA-DRB1;IL17A
Corneal Ulcer,6/33,4.6001496343717546E-11,8.864758942471687E-10,0,0,90.9090909090909,2163.849744614297,IL10;IL6;IFNG;IL1B;TNF;S100A9
Periapical Periodontitis,6/33,4.6001496343717546E-11,8.847411077613621E-10,0,0,90.9090909090909,2163.849744614297,IL6;IL1B;CD14;TNF;TLR4;IL17A
Pleural Tuberculosis,6/33,4.6001496343717546E-11,8.830130977852657E-10,0,0,90.9090909090909,2163.849744614297,IL10;TGFB1;IFNG;IL2RA;TNF;CCR4
Systemic Inflammatory Response Syndrome,7/65,4.703139444140809E-11,9.01022504035397E-10,0,0,53.84615384615385,1280.4726184045694,IL10;IL6;IL1B;HMGB1;CD14;TNF;TLR4
Addison Disease,7/66,5.253544302993033E-11,1.0045103776228702E-9,0,0,53.03030303030303,1255.202511223185,CXCL10;VDR;MTHFR;PRL;HLA-DQA1;HLA-DRB1;INS
Anastomosis,6/34,5.5777753677646244E-11,1.0644344915415675E-9,0,0,88.23529411764706,2083.204059321812,CXCL10;TGFB1;MTHFR;TNF;RUNX3;TLR4
Urticaria,8/114,5.737431153034123E-11,1.0927804917058017E-9,0,0,35.08771929824561,827.418401652316,TGFB1;IFNG;IL1B;IL2RA;TNF;HLA-DRB1;SOD1;IL17A
Joint swelling,7/67,5.857988780637957E-11,1.1135844049537685E-9,0,0,52.23880597014925,1230.7791628974587,IL10;IL6;IFNG;IL2RA;TNF;IL6R;HLA-DRB1
Skin Neoplasms,10/256,5.98971611623891E-11,1.136427219891815E-9,0,0,19.53125,459.73421884528625,DPP4;IL6;TGFB1;IFNG;ZMIZ1;VDR;IL1B;IRF1;HIF1A;TNF
Neutropenia,9/178,6.165885664602093E-11,1.1675977709385234E-9,0,0,25.280898876404493,594.3388711480391,IL10;IL6;TGFB1;IFNG;IL1B;MTHFR;TNF;TLR4;HLA-DRB1
Ewings sarcoma,11/352,6.292260022611128E-11,1.1892371442735033E-9,0,0,15.625,367.01743301069814,DPP4;IL6;IFNG;IL15;STAT1;ETS1;HIF1A;TNF;IL6R;RUNX3;IL2
Leukemogenesis,14/730,6.33345110844522E-11,1.1947247119731214E-9,0,0,9.589041095890412,225.17552761064584,IL21;IL10;IL15;MTHFR;ETS1;HIF1A;TNF;RUNX3;IL2;IL6;IL1B;IL2RA;IRF1;TNFRSF14
Respiratory Tract Infections,7/70,8.04007411691726E-11,1.5137518854609736E-9,0,0,50.0,1162.1998860632034,IL10;IL6;STAT1;VDR;IL1B;CD14;IL2
Presenile dementia,11/362,8.48581225328393E-11,1.5946187920702575E-9,0,0,15.193370165745856,352.33486796625516,DPP4;CXCL10;IL6;STAT1;IL1B;MTHFR;AHR;TNF;IL6R;INS;SOD1
Liver Failure, Acute,8/120,8.685297469767369E-11,1.6289905254365211E-9,0,0,33.333333333333336,772.226812428243,IL10;IL6;IFNG;IL1B;HMGB1;CD14;TNF;INS
Childhood Glioblastoma,9/187,9.586703690498023E-11,1.7946309308612299E-9,0,0,24.06417112299465,555.1137172478554,TGFB1;STAT1;VDR;IL1B;AHR;ETS1;HIF1A;TNF;TLR4
Escherichia coli Infections,6/37,9.599671979184873E-11,1.793642133297128E-9,0,0,81.08108108108108,1870.273548152383,IL10;IL6;IL1B;HIF1A;TNF;TLR4
Cardiomyopathies,12/480,9.670423402201845E-11,1.8034330397882301E-9,0,0,12.5,288.2420491162298,DPP4;IL10;IL6;IFNG;IL15;IL1B;IL2RA;THEMIS;HMGB1;PRL;HIF1A;TNF
Precursor B-cell lymphoblastic leukemia,11/367,9.822373326890981E-11,1.8283008533462984E-9,0,0,14.986376021798364,345.34265083739183,IL10;IL6;IFNG;IL15;CD80;IL1B;IL2RA;MTHFR;CD14;HIF1A;TNF
Adult Glioblastoma,9/189,1.054252161815755E-10,1.958637097604015E-9,0,0,23.809523809523807,546.9766491839479,TGFB1;STAT1;VDR;IL1B;AHR;ETS1;HIF1A;TNF;TLR4
Auricular swelling,5/16,1.0609113609495016E-10,1.9672899727191894E-9,0,0,156.25,3588.5504088640914,CXCL10;IFNG;IL2RA;TNF;IL2
Arthritis, Reactive,6/38,1.1383030118053039E-10,2.106825235409139E-9,0,0,78.94736842105263,1807.60360758275,IL10;IFNG;TNF;TLR4;HLA-DRB1;IL17A
Salmonella infections,6/38,1.1383030118053039E-10,2.1028650375982195E-9,0,0,78.94736842105263,1807.60360758275,IFNG;IL15;IL1B;TNF;TLR4;IL17A
Septic Shock,6/38,1.1383030118053039E-10,2.0989196998166094E-9,0,0,78.94736842105263,1807.60360758275,IL10;IL6;IL1B;HMGB1;TNF;TLR4
Lichen Planus,6/38,1.1383030118053039E-10,2.0949891385809976E-9,0,0,78.94736842105263,1807.60360758275,IL6;IFNG;TNF;S100A9;HLA-DRB1;TGM2
Necrotizing enterocolitis in fetus OR newborn,7/74,1.2000048946675914E-10,2.204420206503381E-9,0,0,47.2972972972973,1080.4370071611902,IL6;TGFB1;IL1B;HMGB1;TNF;TLR4;IL17A
Peripheral Arterial Diseases,8/125,1.2071009114373043E-10,2.2133186114936245E-9,0,0,32.0,730.8041403568694,DPP4;IL10;IL6;MTHFR;CD14;HIF1A;TNF;TLR4
Acute leukemia,12/492,1.2845368585073035E-10,2.350917736575378E-9,0,0,12.195121951219512,277.7494231458021,DPP4;IL6;STAT1;IRF1;MTHFR;CD14;ETS1;TNF;RUNX3;TLR4;IL2;HLA-DRB1
Left-Sided Heart Failure,8/126,1.28710037335402E-10,2.351230942253403E-9,0,0,31.746031746031743,722.966952831539,IL6;IFNG;IL1B;PRL;HIF1A;TNF;INS;SOD1
Hyperinsulinism,11/377,1.30782741797988E-10,2.3846619413555214E-9,0,0,14.588859416445624,332.0057293362909,DPP4;IL6;IFNG;STAT1;PRL;CD14;HIF1A;TNF;TLR4;HLA-DRB1;INS
Squamous cell carcinoma of the head and neck,15/934,1.3173242460959088E-10,2.3975301278945537E-9,0,0,8.029978586723768,182.6840069883829,TGFB1;STAT1;VDR;MTHFR;AHR;ETS1;HIF1A;TNF;IL2;IL6;IFNG;IL2RA;CCR4;S100A9;TLR4
Arthralgia,8/128,1.4610276372717622E-10,2.6541551976167983E-9,0,0,31.25,707.709715020914,IL10;IL6;VDR;IL2RA;IL12A;TNF;TLR4;HLA-DRB1
Colitis, Collagenous,5/17,1.50077664231609E-10,2.721334472450652E-9,0,0,147.05882352941177,3326.451205041249,IL21;IL6;IFNG;IL1B;TNF
Schistosomiasis mansoni,5/17,1.50077664231609E-10,2.716322806755531E-9,0,0,147.05882352941177,3326.451205041249,IL10;TGFB1;IFNG;TNF;SOD1
Triple Negative Breast Neoplasms,13/632,1.521532878345553E-10,2.748828148599282E-9,0,0,10.284810126582277,232.49978180260595,TGFB1;IL15;STAT1;TNFRSF9;MTHFR;AHR;PRL;ETS1;HIF1A;TNF;IL2;IL6;IL1B
Renal carcinoma,12/500,1.5458722313907223E-10,2.7876756495611045E-9,0,0,12.0,271.08315153393346,IL10;IL6;TGFB1;IFNG;VDR;IL2RA;IRF1;AHR;HIF1A;TNF;CCR4;IL2
X-Linked Lymphoproliferative Disorder,6/40,1.5780660639871213E-10,2.8405189151768184E-9,0,0,75.0,1692.7238132061414,IL10;IFNG;IL1B;CCR4;INS;IL17A
Bronchial Hyperreactivity,7/78,1.7515314264192822E-10,3.1469928443964728E-9,0,0,44.87179487179487,1008.0610446609002,IL10;VDR;IRF1;CD14;TNF;TLR4;HLA-DRB1
Anoxia,10/288,1.8988219683853601E-10,3.4054055301626496E-9,0,0,17.36111111111111,388.6218273037699,IL10;IL6;TGFB1;IFNG;STAT1;IL1B;AHR;HIF1A;TNF;TLR4
Left Ventricular Hypertrophy,9/203,1.9933952275184232E-10,3.56850424336085E-9,0,0,22.167487684729064,495.1332620807932,IL10;IL6;TGFB1;VDR;MTHFR;AHR;TNF;TLR4;IL2
Uveitis, Intermediate,4/6,2.0504843851358923E-10,3.6640291885664635E-9,0,0,333.3333333333333,7435.924959756335,IL10;IL6;IL2RA;IL17A
Major Depressive Disorder,12/513,2.0747878696628393E-10,3.700728708356876E-9,0,0,11.695906432748536,260.7718364090243,IL10;CXCL10;IL6;IFNG;VDR;IL1B;IL2RA;MTHFR;HIF1A;TNF;IL2;SOD1
Diffuse cutaneous leishmaniasis,5/18,2.0749815519107007E-10,3.6943693282931823E-9,0,0,138.88888888888889,3096.652592630939,IL10;IL6;IFNG;IL1B;TNF
Heat Stroke,5/18,2.0749815519107007E-10,3.687688732762815E-9,0,0,138.88888888888889,3096.652592630939,IL10;IL6;IL1B;TNF;IL6R
Hernia,6/42,2.150419064543088E-10,3.814858946990879E-9,0,0,71.42857142857142,1590.0134423609375,IL6;IFNG;VDR;IL1B;TNF;INS
Mixed cryoglobulinemia,6/42,2.150419064543088E-10,3.807985327266571E-9,0,0,71.42857142857142,1590.0134423609375,IL10;CXCL10;IL6;IFNG;TNF;HLA-DRB1
Hormone refractory prostate cancer,8/135,2.2409480880628348E-10,3.9611578794031545E-9,0,0,29.62962962962963,658.3393155561649,IL6;TGFB1;IFNG;AHR;HMGB1;TNF;IL6R;IL2
Middle Cerebral Artery Occlusion,8/135,2.2409480880628348E-10,3.954046285364729E-9,0,0,29.62962962962963,658.3393155561649,IL6;IL1B;AHR;CD14;TNF;IL6R;SOD1;IL17A
Unipolar Depression,12/517,2.2677733674953046E-10,3.994207285975601E-9,0,0,11.60541586073501,257.72207901605054,IL10;CXCL10;IL6;IFNG;VDR;IL1B;IL2RA;MTHFR;HIF1A;TNF;INS;SOD1
Malignant neoplasm of liver,14/805,2.2937444289656147E-10,4.032722763483732E-9,0,0,8.695652173913043,193.00578544270866,TGFB1;MTHFR;AHR;HMGB1;HIF1A;TNF;IL2;IL6;IFNG;IRF1;IL12A;CCR4;TLR4;HLA-DRB1
Neoplasms, Experimental,7/81,2.2953530827513813E-10,4.028344660228674E-9,0,0,43.20987654320987,959.0416651047914,IFNG;IL1B;IL12A;AHR;HIF1A;TNF;IL2
Pituitary Neoplasms,10/296,2.4806442313626994E-10,4.345770321895296E-9,0,0,16.89189189189189,373.60359177005694,IL6;TGFB1;IFNG;AHR;PRL;HIF1A;TNF;IL6R;TLR4;INS
Sarcoma,13/658,2.4975146630980545E-10,4.367539877033395E-9,0,0,9.878419452887538,218.41733492020384,IL10;IL15;STAT1;MTHFR;AHR;ETS1;HIF1A;TNF;IL2;DPP4;IL6;IFNG;S100A9
Prediabetes syndrome,7/82,2.5059604745614037E-10,4.374525673888006E-9,0,0,42.6829268292683,943.5990970816453,IL6;IFNG;IL15;IL2RA;TNF;TLR4;INS
Hemochromatosis,7/84,2.9769494027226584E-10,5.187492682616718E-9,0,0,41.666666666666664,913.9563268380629,IL10;IL6;IFNG;TNF;S100A9;TLR4;SOD1
Delirium,6/45,3.324370390340797E-10,5.782639326773336E-9,0,0,66.66666666666667,1454.9713753367525,IL10;IL6;IL1B;TNF;IL6R;IL17A
Malaria, Cerebral,7/86,3.521366340384843E-10,6.114485581855519E-9,0,0,40.697674418604656,885.8663543915945,IL10;CXCL10;IL6;IFNG;IL1B;TNF;IL17A
Acquired Hypogammaglobulinemia,7/86,3.521366340384843E-10,6.103701656667061E-9,0,0,40.697674418604656,885.8663543915945,IL21;IL10;IL6;IFNG;IL2RA;TNF;IL2
Headache,7/86,3.521366340384843E-10,6.092955703046169E-9,0,0,40.697674418604656,885.8663543915945,IL6;TGFB1;MTHFR;PRL;TNF;IL2;SOD1
Endophthalmitis,5/20,3.743828471352789E-10,6.466493183911285E-9,0,0,125.0,2713.217773331256,IFNG;IL1B;HMGB1;TNF;TLR4
Peptic Esophagitis,6/46,3.817461614111453E-10,6.582107498857432E-9,0,0,65.21739130434783,1414.3216452471484,IL10;IL6;VDR;IL1B;TNF;IL2
Congo hemorrhagic fever,4/7,4.777656903659331E-10,8.223259553268635E-9,0,0,285.71428571428567,6131.97162603921,IL10;IL6;IFNG;TNF
Fetid chronic bronchitis,4/7,4.777656903659331E-10,8.208883225378305E-9,0,0,285.71428571428567,6131.97162603921,CXCL10;IL6;IFNG;IL1B
Pelvic pain female,4/7,4.777656903659331E-10,8.194557076642915E-9,0,0,285.71428571428567,6131.97162603921,IL6;IFNG;IL1B;IL17A
Pulmonary Emphysema,9/225,4.966928526807723E-10,8.50435079468054E-9,0,0,20.0,428.4609856705731,IL10;IL6;TGFB1;IFNG;IL1B;HIF1A;TNF;TLR4;SOD1
Meningitis,7/91,5.266238839952033E-10,9.001147012008449E-9,0,0,38.46153846153846,821.7128659536814,IL10;IL6;TGFB1;IFNG;IL12A;TNF;TLR4
Cachexia,8/153,6.096951704720474E-10,1.040292384617931E-8,0,0,26.143790849673202,554.7205752732219,IL10;IL6;TGFB1;IL15;VDR;IL1B;TNF;TLR4
Dementia,11/436,6.099436030267049E-10,1.0389126049473927E-8,0,0,12.61467889908257,267.653899986226,DPP4;CXCL10;IL6;TGFB1;STAT1;IL1B;MTHFR;AHR;TNF;IL6R;SOD1
Anemia, Sickle Cell,9/231,6.268190126389418E-10,1.0658092138781178E-8,0,0,19.48051948051948,412.7992845397997,IL10;IL6;TGFB1;IFNG;IL1B;MTHFR;HIF1A;TNF;HLA-DRB1
Impaired glucose tolerance,10/326,6.339621666036589E-10,1.0760932941935681E-8,0,0,15.337423312883436,324.831776647218,DPP4;IL6;IFNG;CD14;HIF1A;TNF;S100A9;TLR4;INS;TGM2
Hypoglycemia,9/232,6.512007466062971E-10,1.103448437525291E-8,0,0,19.396551724137932,410.2798025702412,DPP4;IL6;IL1B;MTHFR;PRL;HIF1A;TNF;INS;TGM2
Biliary cirrhosis,8/155,6.76167577874838E-10,1.1437822642605694E-8,0,0,25.806451612903224,544.8923915959285,CXCL10;TGFB1;STAT1;CD80;IL12A;HIF1A;TLR4;HLA-DRB1
Hamman-Rich syndrome,9/233,6.764136744156983E-10,1.142232575972076E-8,0,0,19.313304721030043,407.78529301246266,CXCL10;IL6;TGFB1;IFNG;IL1B;HMGB1;TNF;HLA-DRB1;SOD1
Gastric ulcer,7/95,7.148103879984758E-10,1.2050011137648407E-8,0,0,36.84210526315789,775.8580347373791,IL10;IL1B;HIF1A;TNF;IL2;SOD1;IL17A
Limb ischemia,7/95,7.148103879984758E-10,1.2029377556933254E-8,0,0,36.84210526315789,775.8580347373791,IL10;IL1B;MTHFR;HMGB1;HIF1A;TNF;TLR4
Uveal melanoma,9/236,7.572859877297589E-10,1.2722404593859949E-8,0,0,19.06779661016949,400.4481383182323,IL10;TGFB1;IFNG;CD80;IL1B;HMGB1;HIF1A;TNF;IL2
Dermatitis, Irritant,5/23,8.090012318988089E-10,1.356802748652132E-8,0,0,108.69565217391303,2275.567464796582,CXCL10;CD80;IL1B;TNF;IL2
Smallpox,5/23,8.090012318988089E-10,1.3544913300002545E-8,0,0,108.69565217391303,2275.567464796582,IFNG;IL15;IL1B;IRF1;MTHFR
Job Syndrome,5/23,8.090012318988089E-10,1.3521877733165806E-8,0,0,108.69565217391303,2275.567464796582,IL10;IL6;IFNG;STAT1;IL17A
Endometrial Neoplasms,9/238,8.158191221148256E-10,1.3612683076646019E-8,0,0,18.90756302521008,395.6753278287703,CXCL10;IL6;IL1B;MTHFR;ETS1;HIF1A;TNF;RUNX3;TLR4
Malignant mesothelioma,10/335,8.252487753790428E-10,1.3746686380381749E-8,0,0,14.925373134328357,312.1691974497867,DPP4;CXCL10;IL6;TGFB1;IFNG;IL1B;IL2RA;HMGB1;TNF;IL2
Hypercholesterolemia,9/240,8.782984384952865E-10,1.4605612611728725E-8,0,0,18.75,390.9944001164767,IL10;IL6;IL1B;MTHFR;CD14;TNF;TLR4;INS;SOD1
Hypercalcemia,7/98,8.910483689400322E-10,1.4792607043822021E-8,0,0,35.71428571428571,744.2365144215426,IL6;IFNG;VDR;IL1B;TNF;IL2;HLA-DRB1
Secondary malignant neoplasm of lymph node,16/1271,9.459231465629626E-10,1.56771208843521E-8,0,0,6.294256490952006,130.787473111544,IL10;TGFB1;VDR;CD80;HMGB1;ETS1;HIF1A;TNF;RUNX3;IL2;IL6;IL1B;TNFRSF14;CCR4;S100A9;TLR4
Boutonneuse Fever,4/8,9.541684622414508E-10,1.5787150920722186E-8,0,0,250.0,5192.545218727708,IL10;IFNG;TLR4;TNF
Ischemia of kidney,7/99,9.57459397064917E-10,1.5814976393872275E-8,0,0,35.35353535353535,734.1775990226718,IL10;IL6;TGFB1;IL1B;HMGB1;HIF1A;TLR4
Glossitis, Benign Migratory,5/24,1.0204103063538926E-9,1.682649746786251E-8,0,0,104.16666666666667,2156.5688572296126,IL10;CXCL10;IFNG;IL1B;TNF
Otitis Media,7/101,1.1029969482846932E-9,1.815787940995304E-8,0,0,34.65346534653465,714.7358616036585,IL10;IL6;IL1B;CD14;TNF;IL6R;TLR4
Atherogenesis,6/55,1.1660870910695947E-9,1.916438784453508E-8,0,0,54.54545454545454,1121.9788396166164,IL6;IFNG;AHR;TNF;TLR4;SOD1
Immunoglobulin A deficiency (disorder),6/55,1.1660870910695947E-9,1.9132393874844703E-8,0,0,54.54545454545454,1121.9788396166164,IL10;TGFB1;IL2RA;FUT2;TNF;TGM2
Progressive Neoplastic Disease,8/167,1.2232239909647571E-9,2.0036408972002722E-8,0,0,23.952095808383234,491.5395412748621,IL10;CXCL10;IL6;TGFB1;IFNG;TNF;IL2;SOD1
Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse,10/349,1.22569834344334E-9,2.00435329773064E-8,0,0,14.326647564469914,293.97929912752426,IL21;DPP4;IL10;IL6;STAT1;TNFRSF9;IL12A;TNF;TLR4;TGM2
Hepatic Veno-Occlusive Disease,5/25,1.2736577740487806E-9,2.0793203660052186E-8,0,0,100.0,2048.1372939077733,IL6;TGFB1;IL1B;MTHFR;TNF
Lymphomatoid Papulosis,5/25,1.2736577740487806E-9,2.0758720735242814E-8,0,0,100.0,2048.1372939077733,IL10;IL1B;CCR4;IL2;INS
Gonorrhea,6/56,1.3041155313286E-9,2.1219946095856753E-8,0,0,53.57142857142857,1095.9503989136708,IL10;IL6;IL1B;TLR4;IL2;IL17A
Malignant Head and Neck Neoplasm,11/470,1.343001433270515E-9,2.181655882013656E-8,0,0,11.702127659574467,239.0552631639291,IL10;IL6;IFNG;STAT1;VDR;MTHFR;HIF1A;TNF;RUNX3;TLR4;IL2
Progressive cGVHD,8/169,1.3443579256589998E-9,2.1802557249796453E-8,0,0,23.668639053254438,483.48755778855116,IL10;CXCL10;IL6;TGFB1;IFNG;TNF;IL2;SOD1
Alzheimer Disease, Late Onset,9/253,1.3973746786163116E-9,2.262503845377448E-8,0,0,17.786561264822137,362.6443385631658,IL10;IL6;TGFB1;VDR;IL1B;MTHFR;TNF;TLR4;INS
Premature Obstetric Labor,7/105,1.4512030752257958E-9,2.3457933919932764E-8,0,0,33.333333333333336,678.3624305826092,IL10;IL6;IL1B;IRF1;TNF;IL6R;TLR4
Keloid,8/171,1.4757610363420359E-9,2.3815729827864578E-8,0,0,23.391812865497073,475.651275400527,IL6;TGFB1;VDR;IL1B;HIF1A;S100A9;HLA-DQA1;HLA-DRB1
AA amyloidosis,5/26,1.5746157984086002E-9,2.5369383715999548E-8,0,0,96.15384615384616,1948.9667819177655,IL1B;TNF;TLR4;HLA-DRB1;SOD1
Acne Vulgaris,5/26,1.5746157984086002E-9,2.5327862629721317E-8,0,0,96.15384615384616,1948.9667819177655,IL10;IL1B;TNF;TLR4;IL17A
